Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Pair
2024-03-06,249.80999755859375,251.64999389648438,247.42999267578125,248.39999389648438,243.40357971191406,1649900,FDX,CHRW-FDX
2024-03-07,249.7100067138672,251.1699981689453,248.99000549316406,250.24000549316406,245.2065887451172,1536600,FDX,CHRW-FDX
2024-03-08,250.07000732421875,250.2899932861328,247.49000549316406,247.67999267578125,243.92626953125,1117000,FDX,CHRW-FDX
2024-03-11,247.83999633789062,253.39999389648438,247.83999633789062,252.6999969482422,248.87020874023438,1475000,FDX,CHRW-FDX
2024-03-12,253.25,258.2099914550781,253.19000244140625,254.22000122070312,250.36717224121094,1912300,FDX,CHRW-FDX
2024-03-13,255.5500030517578,258.17999267578125,255.16000366210938,255.22000122070312,251.3520050048828,1492300,FDX,CHRW-FDX
2024-03-14,254.6699981689453,256.3599853515625,253.5500030517578,255.52999877929688,251.65731811523438,1333900,FDX,CHRW-FDX
2024-03-15,252.8699951171875,255.80999755859375,252.3300018310547,253.2899932861328,249.4512481689453,3295900,FDX,CHRW-FDX
2024-03-18,253.32000732421875,254.94000244140625,251.67999267578125,253.17999267578125,249.34291076660156,1558600,FDX,CHRW-FDX
2024-03-19,252.92999267578125,257.2699890136719,252.50999450683594,256.6199951171875,252.7307891845703,1444300,FDX,CHRW-FDX
2024-03-20,256.6199951171875,260.17999267578125,255.00999450683594,259.989990234375,256.04974365234375,1890200,FDX,CHRW-FDX
2024-03-21,259.54998779296875,265.5299987792969,259.5400085449219,264.8500061035156,260.8360595703125,4879400,FDX,CHRW-FDX
2024-03-22,286.0,291.2699890136719,281.3999938964844,284.32000732421875,280.010986328125,8184900,FDX,CHRW-FDX
2024-03-25,280.7799987792969,283.0199890136719,277.54998779296875,282.57000732421875,278.2875061035156,3028400,FDX,CHRW-FDX
2024-03-26,283.1300048828125,290.8699951171875,282.8599853515625,288.989990234375,284.6102294921875,4527600,FDX,CHRW-FDX
2024-03-27,289.80999755859375,289.80999755859375,284.29998779296875,287.8800048828125,283.5170593261719,1786500,FDX,CHRW-FDX
2024-03-28,287.2799987792969,290.44000244140625,286.4599914550781,289.739990234375,285.34881591796875,1650700,FDX,CHRW-FDX
2024-04-01,284.239990234375,287.0899963378906,279.3699951171875,280.1300048828125,275.88446044921875,2784000,FDX,CHRW-FDX
2024-04-02,276.510009765625,277.92999267578125,273.8399963378906,275.2900085449219,271.1178283691406,2516400,FDX,CHRW-FDX
2024-04-03,276.67999267578125,279.6400146484375,275.0,278.489990234375,274.26934814453125,1805800,FDX,CHRW-FDX
2024-04-04,280.42999267578125,281.19000244140625,274.3999938964844,275.510009765625,271.3345031738281,1836500,FDX,CHRW-FDX
2024-04-05,275.0,275.95001220703125,272.1600036621094,273.5199890136719,269.3746643066406,1568900,FDX,CHRW-FDX
2024-04-08,274.9800109863281,276.5199890136719,274.260009765625,275.57000732421875,271.3935852050781,2048700,FDX,CHRW-FDX
2024-04-09,275.0299987792969,276.54998779296875,273.6000061035156,276.3699951171875,272.1814880371094,1223800,FDX,CHRW-FDX
2024-04-10,272.2300109863281,273.8699951171875,267.760009765625,270.29998779296875,266.2034606933594,2603100,FDX,CHRW-FDX
2024-04-11,270.3900146484375,273.05999755859375,269.70001220703125,272.17999267578125,268.05499267578125,1031900,FDX,CHRW-FDX
2024-04-12,271.1099853515625,271.7200012207031,265.8999938964844,267.79998779296875,263.7413330078125,1176000,FDX,CHRW-FDX
2024-04-15,270.82000732421875,271.6099853515625,266.1499938964844,266.739990234375,262.6973876953125,998900,FDX,CHRW-FDX
2024-04-16,266.5799865722656,266.8500061035156,263.1600036621094,264.94000244140625,260.9246826171875,1421100,FDX,CHRW-FDX
2024-04-17,264.3999938964844,265.92999267578125,262.2200012207031,263.07000732421875,259.08306884765625,1371800,FDX,CHRW-FDX
2024-04-18,264.1099853515625,265.20001220703125,262.0799865722656,263.3699951171875,259.37847900390625,1063600,FDX,CHRW-FDX
2024-04-19,264.239990234375,269.1000061035156,263.4599914550781,266.989990234375,262.9436340332031,1894300,FDX,CHRW-FDX
2024-04-22,268.6700134277344,271.94000244140625,267.0199890136719,270.1499938964844,266.05572509765625,1246600,FDX,CHRW-FDX
2024-04-23,270.4200134277344,273.9100036621094,270.0,271.75,267.6315002441406,1187000,FDX,CHRW-FDX
2024-04-24,270.510009765625,271.3299865722656,263.5799865722656,266.07000732421875,262.0375671386719,1696600,FDX,CHRW-FDX
2024-04-25,263.94000244140625,265.79998779296875,262.70001220703125,265.5199890136719,261.49591064453125,876100,FDX,CHRW-FDX
2024-04-26,264.1300048828125,267.45001220703125,263.30999755859375,265.8399963378906,261.8110656738281,958900,FDX,CHRW-FDX
2024-04-29,266.5299987792969,268.239990234375,263.9599914550781,265.8599853515625,261.83074951171875,786800,FDX,CHRW-FDX
2024-04-30,264.8399963378906,264.9700012207031,261.6600036621094,261.7799987792969,257.8125915527344,853900,FDX,CHRW-FDX
2024-05-01,261.6499938964844,263.0299987792969,259.7799987792969,260.7300109863281,256.7785339355469,901000,FDX,CHRW-FDX
2024-05-02,263.2900085449219,263.8800048828125,260.010009765625,262.0299987792969,258.05877685546875,1311600,FDX,CHRW-FDX
2024-05-03,263.5,265.57000732421875,259.8500061035156,260.6499938964844,256.69970703125,1085100,FDX,CHRW-FDX
2024-05-06,262.8399963378906,263.0,260.1700134277344,260.2900085449219,256.3451843261719,929600,FDX,CHRW-FDX
2024-05-07,261.2300109863281,262.0400085449219,258.489990234375,259.4700012207031,255.53758239746094,1356100,FDX,CHRW-FDX
2024-05-08,257.7799987792969,259.0,255.80999755859375,258.010009765625,254.09974670410156,1453900,FDX,CHRW-FDX
2024-05-09,258.17999267578125,262.510009765625,258.17999267578125,262.05999755859375,258.08837890625,923700,FDX,CHRW-FDX
2024-05-10,262.05999755859375,265.95001220703125,262.05999755859375,265.7300109863281,261.70269775390625,1092400,FDX,CHRW-FDX
2024-05-13,266.0299987792969,268.3299865722656,265.0299987792969,266.8900146484375,262.84515380859375,2036200,FDX,CHRW-FDX
2024-05-14,267.2200012207031,267.6300048828125,258.3500061035156,259.0400085449219,255.11410522460938,2534000,FDX,CHRW-FDX
2024-05-15,260.0,260.7300109863281,258.19000244140625,259.32000732421875,255.38987731933594,1145600,FDX,CHRW-FDX
2024-05-16,258.55999755859375,260.989990234375,257.4100036621094,258.7799987792969,254.85804748535156,1136300,FDX,CHRW-FDX
