Date,Open,High,Low,Close,Adj Close,Volume
2023-06-09,172.00999450683594,172.5,169.8000030517578,170.0399932861328,167.6985321044922,617900
2023-06-12,170.0399932861328,170.47000122070312,166.88999938964844,168.92999267578125,166.60382080078125,839100
2023-06-13,169.7899932861328,171.27999877929688,168.97000122070312,169.75999450683594,167.42239379882812,690000
2023-06-14,170.8699951171875,175.8300018310547,169.14999389648438,174.38999938964844,171.9886474609375,801800
2023-06-15,173.2899932861328,177.75,171.17999267578125,176.92999267578125,174.49368286132812,523700
2023-06-16,177.99000549316406,179.25999450683594,175.74000549316406,176.67999267578125,174.24713134765625,987300
2023-06-20,175.7899932861328,176.25999450683594,173.1199951171875,173.94000244140625,171.54486083984375,412700
2023-06-21,172.3300018310547,176.64999389648438,172.0,176.36000061035156,173.93154907226562,661700
2023-06-22,176.27000427246094,178.63999938964844,175.0,176.5800018310547,174.1484832763672,723600
2023-06-23,175.0500030517578,175.77000427246094,173.36000061035156,175.17999267578125,172.7677764892578,2211900
2023-06-26,174.86000061035156,177.8800048828125,174.86000061035156,176.5399932861328,174.1090545654297,603100
2023-06-27,176.6699981689453,182.16000366210938,175.92999267578125,178.77000427246094,176.308349609375,696800
2023-06-28,179.05999755859375,179.5,177.11000061035156,178.85000610351562,176.38723754882812,423200
2023-06-29,179.58999633789062,182.57000732421875,178.83999633789062,182.47000122070312,179.9573974609375,587100
2023-06-30,182.77000427246094,182.77000427246094,179.97999572753906,181.02999877929688,178.53721618652344,731500
2023-07-03,180.39999389648438,184.19000244140625,179.49000549316406,182.41000366210938,179.89820861816406,310900
2023-07-05,180.27000427246094,182.57000732421875,177.4499969482422,179.49000549316406,177.0184326171875,765800
2023-07-06,176.94000244140625,179.22000122070312,175.91000366210938,179.0399932861328,176.5746307373047,797900
2023-07-07,179.22000122070312,182.24000549316406,178.5500030517578,179.61000061035156,177.13677978515625,460600
2023-07-10,178.89999389648438,181.94000244140625,178.6199951171875,180.82000732421875,178.3301239013672,518900
2023-07-11,180.50999450683594,185.49000549316406,180.50999450683594,185.3699951171875,182.81744384765625,590500
2023-07-12,187.19000244140625,188.52999877929688,183.86000061035156,184.69000244140625,182.1468505859375,726600
2023-07-13,184.75999450683594,186.72999572753906,183.9499969482422,184.07000732421875,181.53536987304688,512100
2023-07-14,184.3699951171875,184.99000549316406,182.58999633789062,183.3000030517578,180.77597045898438,492500
2023-07-17,183.0,185.02000427246094,180.3699951171875,183.3800048828125,180.8548583984375,891100
2023-07-18,185.39999389648438,188.72999572753906,185.00999450683594,188.1699981689453,185.5789031982422,1381100
2023-07-19,194.99000549316406,196.32000732421875,189.7100067138672,195.22999572753906,192.54168701171875,2237900
2023-07-20,194.72999572753906,195.1300048828125,191.30999755859375,192.0500030517578,189.4054718017578,932800
2023-07-21,190.47999572753906,197.1699981689453,190.0,195.58999633789062,192.896728515625,959300
2023-07-24,193.97000122070312,199.66000366210938,193.2100067138672,198.33999633789062,195.6088409423828,883200
2023-07-25,197.91000366210938,200.50999450683594,197.77000427246094,199.75999450683594,197.00929260253906,750400
2023-07-26,200.25999450683594,203.17999267578125,199.82000732421875,202.8300018310547,200.03704833984375,1021600
2023-07-27,203.0,203.88999938964844,199.4199981689453,200.11000061035156,197.3544921875,820600
2023-07-28,202.16000366210938,206.2100067138672,201.4499969482422,205.5399932861328,202.709716796875,908000
2023-07-31,205.57000732421875,205.58999633789062,203.25,203.94000244140625,201.1317596435547,807900
2023-08-01,203.41000366210938,204.6999969482422,200.33999633789062,203.8699951171875,201.06271362304688,591100
2023-08-02,202.74000549316406,205.1999969482422,202.25999450683594,204.88999938964844,202.06866455078125,530100
2023-08-03,203.6699981689453,208.8000030517578,202.94000244140625,208.24000549316406,205.7943878173828,953500
2023-08-04,208.57000732421875,209.2100067138672,205.61000061035156,206.5,204.0748291015625,944200
2023-08-07,207.50999450683594,209.11000061035156,204.83999633789062,207.1199951171875,204.68756103515625,689900
2023-08-08,205.36000061035156,205.36000061035156,203.3000030517578,205.10000610351562,202.6912841796875,733700
2023-08-09,205.07000732421875,205.07000732421875,202.91000366210938,203.42999267578125,201.04087829589844,629600
2023-08-10,204.1300048828125,206.47000122070312,201.58999633789062,202.4199981689453,200.04273986816406,517100
2023-08-11,201.85000610351562,203.5500030517578,201.39999389648438,203.16000366210938,200.7740478515625,433100
2023-08-14,202.9600067138672,203.0,200.67999267578125,202.33999633789062,199.9636688232422,648400
2023-08-15,201.52999877929688,201.64999389648438,199.00999450683594,199.5399932861328,197.1965789794922,541700
2023-08-16,199.30999755859375,200.63999938964844,191.77000427246094,192.6999969482422,190.4368896484375,1535300
2023-08-17,193.00999450683594,193.42999267578125,189.38999938964844,190.0500030517578,187.81800842285156,846900
2023-08-18,188.17999267578125,191.47999572753906,187.47999572753906,191.00999450683594,188.76673889160156,633300
2023-08-21,190.8300018310547,192.44000244140625,189.5500030517578,191.6199951171875,189.36956787109375,490000
2023-08-22,191.6199951171875,193.05999755859375,190.1199951171875,190.44000244140625,188.2034454345703,577100
2023-08-23,190.11000061035156,190.86000061035156,188.83999633789062,190.5500030517578,188.31216430664062,424900
2023-08-24,190.5500030517578,191.0,189.1999969482422,189.36000061035156,187.13612365722656,541000
2023-08-25,189.38999938964844,189.9499969482422,187.19000244140625,187.66000366210938,185.45608520507812,510500
2023-08-28,188.6999969482422,190.58999633789062,186.22000122070312,186.82000732421875,184.62596130371094,503100
2023-08-29,187.10000610351562,190.4499969482422,186.8300018310547,189.05999755859375,186.83963012695312,713000
2023-08-30,189.13999938964844,190.58999633789062,189.13999938964844,190.00999450683594,187.7784881591797,437800
